"Lang","List","ID","Size","Orientation","Match","RT","ACC"
"English","SP_List2","6807972","S","H","Y",528.5,100
"English","SP_List2","6807972","S","V","N",566,100
"English","SP_List2","6807972","S","V","Y",481.49755859375,100
"english","SP_List2","778602","L","H","N",633.4150390625,87.5
"english","SP_List2","778602","L","H","Y",617.027587890625,75
"english","SP_List2","778602","L","V","N",808.97509765625,87.5
"english","SP_List2","778602","L","V","Y",632.779907226562,100
"english","SP_List2","778602","S","H","N",571.944946289062,100
"english","SP_List2","778602","S","H","Y",504.18505859375,87.5
"english","SP_List2","778602","S","V","N",630.409912109375,100
"english","SP_List2","778602","S","V","Y",660.239990234375,87.5
"English","SP_List2","7892798","L","H","N",652.634887695312,75
"English","SP_List2","7892798","L","H","Y",631.699951171875,100
"English","SP_List2","7892798","L","V","N",635.757446289062,100
"English","SP_List2","7892798","L","V","Y",716.780029296875,87.5
"English","SP_List2","7892798","S","H","N",609.854858398438,100
"English","SP_List2","7892798","S","H","Y",504.6650390625,87.5
"English","SP_List2","7892798","S","V","N",602.737426757812,75
"English","SP_List2","7892798","S","V","Y",647.694946289062,100
"English","SP_List2","7957756","L","H","N",577.00244140625,100
"English","SP_List2","7957756","L","H","Y",797.99755859375,50
"English","SP_List2","7957756","L","V","N",698,87.5
"English","SP_List2","7957756","L","V","Y",616,75
"English","SP_List2","7957756","S","H","N",538,87.5
"English","SP_List2","7957756","S","H","Y",632,87.5
"English","SP_List2","7957756","S","V","N",537.5,100
"English","SP_List2","7957756","S","V","Y",586.0048828125,87.5
"English","SP_List2","8267729","L","H","N",625.742553710938,100
"English","SP_List2","8267729","L","H","Y",694.6875,100
"English","SP_List2","8267729","L","V","N",614.135009765625,87.5
"English","SP_List2","8267729","L","V","Y",687.507568359375,100
"English","SP_List2","8267729","S","H","N",665.712646484375,100
"English","SP_List2","8267729","S","H","Y",646.022583007812,100
"English","SP_List2","8267729","S","V","N",622.154907226562,100
"English","SP_List2","8267729","S","V","Y",646.897583007812,100
"English","SP_List2","8413180","L","H","N",659.00244140625,100
"English","SP_List2","8413180","L","H","Y",758,87.5
"English","SP_List2","8413180","L","V","N",758,100
"English","SP_List2","8413180","L","V","Y",576.5,100
"English","SP_List2","8413180","S","H","N",577.5,100
"English","SP_List2","8413180","S","H","Y",588.99755859375,100
"English","SP_List2","8413180","S","V","N",602,87.5
"English","SP_List2","8413180","S","V","Y",637.00244140625,100
"english","SP_List2","9132668","L","H","N",618.095092773438,100
"english","SP_List2","9132668","L","H","Y",642.5751953125,87.5
"english","SP_List2","9132668","L","V","N",680.43994140625,87.5
"english","SP_List2","9132668","L","V","Y",651.572387695312,100
"english","SP_List2","9132668","S","H","N",613.967529296875,75
"english","SP_List2","9132668","S","H","Y",566.522583007812,100
"english","SP_List2","9132668","S","V","N",525.125,100
"english","SP_List2","9132668","S","V","Y",556.705078125,100
"English","SP_List2","9567626","L","H","N",788.5,100
"English","SP_List2","9567626","L","H","Y",644.50244140625,100
"English","SP_List2","9567626","L","V","N",659.00244140625,100
