"Lang","List","ID","Size","Match","RT","ACC"
"English","SP_List3","9191049","L","N",631.22509765625,93.75
"English","SP_List3","9191049","L","Y",630.525024414062,100
"English","SP_List3","9191049","S","N",543.010131835938,100
"English","SP_List3","9191049","S","Y",662.847534179688,100
"English","SP_List3","9200724","L","N",578.56494140625,93.75
"English","SP_List3","9200724","L","Y",484.60498046875,93.75
"English","SP_List3","9200724","S","N",474.60498046875,93.75
"English","SP_List3","9200724","S","Y",424.10498046875,81.25
"English","SP_List3","9444824","L","N",920.824951171875,93.75
"English","SP_List3","9444824","L","Y",981.9150390625,93.75
"English","SP_List3","9444824","S","N",730.93505859375,87.5
"English","SP_List3","9444824","S","Y",836.005126953125,93.75
"english","SP_List4","1662250","L","N",521.442504882812,100
"english","SP_List4","1662250","L","Y",561.54248046875,100
"english","SP_List4","1662250","S","N",531.72998046875,93.75
"english","SP_List4","1662250","S","Y",516.74755859375,100
"english","SP_List4","178408","L","N",616.992553710938,100
"english","SP_List4","178408","L","Y",734.68505859375,81.25
"english","SP_List4","178408","S","N",690.139892578125,93.75
"english","SP_List4","178408","S","Y",582.869995117188,100
"English","SP_List4","2003617","L","N",574.339965820312,100
"English","SP_List4","2003617","L","Y",606.845092773438,100
"English","SP_List4","2003617","S","N",565.014892578125,93.75
"English","SP_List4","2003617","S","Y",565.294921875,93.75
"English","SP_List4","2075254","L","N",696,81.25
"English","SP_List4","2075254","L","Y",605.49755859375,87.5
"English","SP_List4","2075254","S","N",554.9951171875,81.25
"English","SP_List4","2075254","S","Y",560.0048828125,93.75
"English","SP_List4","2204568","L","N",871.15576171875,93.75
"English","SP_List4","2204568","L","Y",916.59228515625,68.75
"English","SP_List4","2204568","S","N",698.430419921875,87.5
"English","SP_List4","2204568","S","Y",809.869018554688,87.5
"English","SP_List4","2459702","L","N",556.892578125,100
"English","SP_List4","2459702","L","Y",597.9150390625,93.75
"English","SP_List4","2459702","S","N",564.197387695312,100
"English","SP_List4","2459702","S","Y",575.77001953125,93.75
"English","SP_List4","274348","L","N",619,93.75
"English","SP_List4","274348","L","Y",621,87.5
"English","SP_List4","274348","S","N",553.0048828125,93.75
"English","SP_List4","274348","S","Y",512.9951171875,81.25
"English","SP_List4","3430523","L","N",594,100
"English","SP_List4","3430523","L","Y",567.5,100
"English","SP_List4","3430523","S","N",511,100
"English","SP_List4","3430523","S","Y",541,100
"English","SP_List4","3723208","L","N",568,87.5
"English","SP_List4","3723208","L","Y",563.50244140625,100
"English","SP_List4","3723208","S","N",520,93.75
"English","SP_List4","3723208","S","Y",520.5,100
"English","SP_List4","4195548","L","N",685,100
"English","SP_List4","4195548","L","Y",601.5,100
"English","SP_List4","4195548","S","N",566,93.75
"English","SP_List4","4195548","S","Y",733,93.75
"English","SP_List4","4627165","L","N",829.477416992188,87.5
"English","SP_List4","4627165","L","Y",774.114990234375,93.75
"English","SP_List4","4627165","S","N",833.155029296875,100
"English","SP_List4","4627165","S","Y",688.2001953125,93.75
"english","SP_List4","5270004","L","N",594.397583007812,75
"english","SP_List4","5270004","L","Y",645.5,87.5
"english","SP_List4","5270004","S","N",586.019897460938,75
"english","SP_List4","5270004","S","Y",580.282470703125,100
"english","SP_List4","5557920","L","N",688.53515625,100
"english","SP_List4","5557920","L","Y",786.487548828125,100
"english","SP_List4","5557920","S","N",608.3798828125,100
"english","SP_List4","5557920","S","Y",722.89501953125,93.75
"english","SP_List4","5656906","L","N",727.72998046875,93.75
"english","SP_List4","5656906","L","Y",738.694946289062,87.5
"english","SP_List4","5656906","S","N",636.68017578125,100
"english","SP_List4","5656906","S","Y",683.2900390625,93.75
"english","SP_List4","5756652","L","N",647.1298828125,100
"english","SP_List4","5756652","L","Y",689.385009765625,81.25
"english","SP_List4","5756652","S","N",633.487670898438,100
"english","SP_List4","5756652","S","Y",637.695068359375,93.75
"English","SP_List4","5757626","L","N",516.340087890625,93.75
"English","SP_List4","5757626","L","Y",539.302490234375,100
"English","SP_List4","5757626","S","N",588.14501953125,93.75
"English","SP_List4","5757626","S","Y",468.9150390625,93.75
"English","SP_List4","5847602","L","N",680.2724609375,100
"English","SP_List4","5847602","L","Y",688.502563476562,87.5
"English","SP_List4","5847602","S","N",577.839965820312,100
"English","SP_List4","5847602","S","Y",522.89013671875,93.75
"english","SP_List4","6034619","L","N",640.562255859375,93.75
"english","SP_List4","6034619","L","Y",655.494384765625,93.75
"english","SP_List4","6034619","S","N",528.39501953125,81.25
"english","SP_List4","6034619","S","Y",559.568603515625,93.75
"english","SP_List4","6366544","L","N",813.98486328125,93.75
"english","SP_List4","6366544","L","Y",771.175048828125,93.75
"english","SP_List4","6366544","S","N",876.719848632812,87.5
"english","SP_List4","6366544","S","Y",897.625,87.5
"english","SP_List4","6906579","L","N",535.157470703125,87.5
"english","SP_List4","6906579","L","Y",661.974975585938,100
"english","SP_List4","6906579","S","N",544.160034179688,75
"english","SP_List4","6906579","S","Y",650.66015625,81.25
"English","SP_List4","7084523","L","N",503.042602539062,100
"English","SP_List4","7084523","L","Y",503.717407226562,100
"English","SP_List4","7084523","S","N",477.445068359375,100
"English","SP_List4","7084523","S","Y",465.7998046875,93.75
"english","SP_List4","7245640","L","N",598.36328125,87.5
"english","SP_List4","7245640","L","Y",733.572509765625,93.75
"english","SP_List4","7245640","S","N",579.580810546875,87.5
"english","SP_List4","7245640","S","Y",571.521362304688,100
"english","SP_List4","7311671","L","N",880.489990234375,93.75
"english","SP_List4","7311671","L","Y",939.85009765625,81.25
"english","SP_List4","7311671","S","N",782.284912109375,93.75
"english","SP_List4","7311671","S","Y",1006.55249023438,87.5
"english","SP_List4","7483916","L","N",593.49755859375,100
"english","SP_List4","7483916","L","Y",603.49755859375,87.5
"english","SP_List4","7483916","S","N",527,93.75
"english","SP_List4","7483916","S","Y",555.5,100
"English","SP_List4","8037171","L","N",863.905029296875,93.75
"English","SP_List4","8037171","L","Y",863.02490234375,93.75
"English","SP_List4","8037171","S","N",819.4951171875,81.25
"English","SP_List4","8037171","S","Y",808.385009765625,81.25
"english","SP_List4","8224252","L","N",647.177490234375,100
"english","SP_List4","8224252","L","Y",678.039916992188,100
"english","SP_List4","8224252","S","N",644.705078125,100
"english","SP_List4","8224252","S","Y",648.792602539062,100
"English","SP_List4","8365526","L","N",595.559936523438,100
"English","SP_List4","8365526","L","Y",612.8798828125,100
"English","SP_List4","8365526","S","N",568.429931640625,93.75
"English","SP_List4","8365526","S","Y",551.432495117188,100
"english","SP_List4","9097430","L","N",613.387573242188,100
"english","SP_List4","9097430","L","Y",614.057495117188,100
"english","SP_List4","9097430","S","N",563.525024414062,87.5
"english","SP_List4","9097430","S","Y",577.699951171875,93.75
"english","SP_List4","9588010","L","N",612.6650390625,93.75
"english","SP_List4","9588010","L","Y",585.180053710938,100
"english","SP_List4","9588010","S","N",537.5625,100
"english","SP_List4","9588010","S","Y",502.580078125,93.75
"english","SP_List4","9648548","L","N",660.50244140625,100
"english","SP_List4","9648548","L","Y",660.0048828125,93.75
"english","SP_List4","9648548","S","N",620.5,87.5
"english","SP_List4","9648548","S","Y",667,68.75
"English","SP_List4","9839943","L","N",716.77001953125,93.75
"English","SP_List4","9839943","L","Y",672.8798828125,81.25
"English","SP_List4","9839943","S","N",662.047485351562,100
"English","SP_List4","9839943","S","Y",622.372436523438,100
"English ","SP_List1","1396603","L","N",561.945068359375,62.5
"English ","SP_List1","1396603","L","Y",503.18994140625,81.25
"English ","SP_List1","1396603","S","N",507,87.5
"English ","SP_List1","1396603","S","Y",565.030029296875,81.25
"English and Spanish","SP_List2","8565024","L","N",679.00244140625,87.5
"English and Spanish","SP_List2","8565024","L","Y",668.0048828125,93.75
"English and Spanish","SP_List2","8565024","S","N",680.9951171875,93.75
"English and Spanish","SP_List2","8565024","S","Y",532.49755859375,100
"english, croatian","SP_List3","7366707","L","N",659.482543945312,100
"english, croatian","SP_List3","7366707","L","Y",688.552490234375,100
"english, croatian","SP_List3","7366707","S","N",616.074951171875,100
"english, croatian","SP_List3","7366707","S","Y",622.359985351562,100
