"Lang","Gender","Age","ID","List","Trial_Seq","Size","Orien","Match","Item_index","sentence_read_time","Target_response_time","correct","Comprehension_correct","datetime"
"english","Male","33","178408","SP_List4","7","S","H","N","59","2084.699951171875","927.044921875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","43","S","H","N","60","1788.445068359375","706.304931640625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","40","S","H","N","61","1110.239990234375","613.139892578125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","73","S","H","N","62","1809.974853515625","1392.659912109375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","50","S","H","N","63","2030.659912109375","783.840087890625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","58","S","H","N","64","1436.699951171875","701.675048828125",0,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","106","F","F","F","65","1665.010009765625","524.6650390625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","20","F","F","F","66","1843.27001953125","767.5849609375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","127","F","F","F","67","805.344970703125","600.219970703125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","65","F","F","F","68","1202.0849609375","520.39990234375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","15","F","F","F","69","1601.965087890625","714.2900390625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","52","F","F","F","70","1100.715087890625","649.434814453125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","69","F","F","F","71","1258.905029296875","673.724853515625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","36","F","F","F","72","1731.550048828125","768.820068359375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","113","F","F","F","73","637.1201171875","662.375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","86","F","F","F","74","1181.97509765625","613.4951171875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","42","F","F","F","75","1916.909912109375","533.655029296875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","104","F","F","F","76","1264.22998046875","612.510009765625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","111","F","F","F","77","1094.919921875","898.715087890625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","122","F","F","F","78","849.184814453125","700.344970703125",0,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","75","F","F","F","79","851.955078125","788.294921875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","114","F","F","F","80","756.505126953125","590.364990234375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","62","F","F","F","81","1072.8349609375","494.080078125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","53","F","F","F","82","951.570068359375","585.7099609375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","85","F","F","F","83","932.945068359375","522.469970703125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","105","F","F","F","84","950.77001953125","615.909912109375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","100","F","F","F","85","825.7099609375","804.48486328125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","82","F","F","F","86","1290.179931640625","597.56005859375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","56","F","F","F","87","4152.39990234375","749.4150390625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","33","F","F","F","88","1862.860107421875","783.684814453125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","1","F","F","F","89","1705.679931640625","1206.830078125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","25","F","F","F","90","1263.39013671875","556.224853515625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","63","F","F","F","91","1227.820068359375","557.3798828125",1,NA,"2016-12-07 15:16:18"
